,accuracy,f1_score,precision,recall
LSTM Neural Network,0.924,0.9240101273034539,0.9255932870318663,0.924
SVM (TF-IDF),0.8965,0.8952264780340994,0.895085395570556,0.8965
SVM (Tuned),0.8965,0.8952264780340994,0.895085395570556,0.8965
Logistic Regression (BoW),0.8895,0.8887757196366816,0.8884828242439492,0.8895
Random Forest (Tuned),0.8875,0.8864506649550504,0.8862534904447386,0.8875
Random Forest (TF-IDF),0.884,0.8831867359774067,0.8830914537673985,0.884
Logistic Regression (TF-IDF),0.8825,0.8788883101938512,0.8829633340482895,0.8825
Decision Tree (TF-IDF),0.865,0.8648525044127572,0.865257110320815,0.865
Naive Bayes (BoW),0.8415,0.8326004123954192,0.839187216575754,0.8415
Naive Bayes (TF-IDF),0.803,0.7793122606362305,0.8326188720526787,0.803
